region,week,ad_spend_tv,ad_spend_digital,ad_spend_outdoor,ad_spend_retail,avg_temp,holiday,pepsi_spend,sales_volume,total_spend,roi
Africa,2022-01-03,99.72501660471899,97.62841567977824,52.97760205505609,75.15565310636512,76.67395921759504,0,76.59303472503213,1776.146646537944,325.4866874459184,5.456894905519174
Africa,2022-01-10,205.61272694278838,157.3678274472336,103.59683245802063,142.61058895572805,89.77000636790338,0,252.3142741150767,1887.3672194795831,609.1879758037707,3.098168864855492
Africa,2022-01-17,269.1274701193556,219.78012938734972,142.75290537445073,172.6301720637142,64.8753269655145,0,309.1461770324041,1811.1774344707537,804.2906769448703,2.251894105437828
Africa,2022-01-24,89.13858063791001,111.97827649608348,42.70916870371715,94.33547860916923,83.36389218847576,1,102.04427322728982,2077.7780078187343,338.1615044468799,6.1443363023159305
Africa,2022-01-31,111.06639167262763,140.5097518337919,41.13494383396949,98.11829904993014,61.28852835204651,1,115.74313813740059,2072.6099636910235,390.8293863903192,5.303106766954108
Africa,2022-02-07,196.2836602232145,224.97916704461863,113.39891463571908,103.35218627200656,69.61638119999192,1,206.26717208810024,2048.569049273436,638.0139281755587,3.2108531785997982
Africa,2022-02-14,283.0284231374535,290.83962587288846,227.87380997953318,235.7591048624444,65.87342867376687,0,336.39569774886195,1932.3555035471852,1037.5009638523197,1.8625095984221574
Africa,2022-02-21,118.46659632885066,129.28739659627945,62.58527451726773,100.58278131161876,85.81942535451918,0,96.6689777483286,1652.244432915968,410.9220487540166,4.020822046239294
Africa,2022-02-28,159.03295868497716,151.65434376498655,65.13634608529325,164.04502387341302,77.34589766404606,0,140.3012254957799,1834.8951136859675,539.8686724086699,3.3987804950774922
Africa,2022-03-07,96.17726825293491,119.84200273075997,74.71169170759832,87.89121310644799,77.86496755407023,0,124.77167574970429,1930.8586361107748,378.6221757977412,5.099697692145305
Africa,2022-03-14,138.8223719134888,128.29133078077058,55.276834066945895,64.11272622218077,66.93267012270549,0,117.59534299292868,1769.4484781614153,386.503262983386,4.578094540530375
Africa,2022-03-21,242.3759277372647,300.04433089556255,212.53515461391777,223.16416247273497,75.00306504067112,1,251.35538799820281,2048.458455108188,978.1195757194798,2.094282239062023
Africa,2022-03-28,283.0291357641765,319.6100891800952,191.0421989840771,159.79214054675228,70.36534696690887,0,328.9114336597987,2138.4706006505853,953.4735644751012,2.242821070585045
Africa,2022-04-04,90.4630390565335,106.2028763271002,78.04723663292548,55.41679278617523,81.83455014854216,0,126.6428143646458,1998.0751798119252,330.1299448027344,6.052390009654693
Africa,2022-04-11,318.1291126488167,324.40128255327005,146.4772451506027,159.16910589413305,68.08908864668386,0,301.6605436151555,1958.6800110798772,948.1767462468225,2.065733017428385
Africa,2022-04-18,220.1235513288428,165.88022934335237,143.7535005040043,173.78052072937902,91.29794365205076,0,207.46079023831592,2045.9996824765867,703.5378019055786,2.908158846525178
Africa,2022-04-25,281.243438598823,293.76327668648304,145.66343356815813,140.8717882741151,61.24419550375906,0,358.3240256835613,1644.8664580139573,861.5419371275791,1.9092122938298495
Africa,2022-05-02,193.77311392852107,214.8978836578771,117.48920752130174,76.46567215191675,69.93480167543439,0,241.13174527546118,1778.262551502978,602.6258772596166,2.950856607070139
Africa,2022-05-09,160.50787611970605,171.24320527689696,106.59684805425839,153.88685307538816,94.77200509966096,0,190.17947531946666,1873.7953095203093,592.2347825262495,3.1639399859755066
Africa,2022-05-16,213.13346038401878,201.76893090827832,77.98362999567792,96.03527127390568,73.64861252037966,0,206.86386468914776,1847.2747732849252,588.9212925618807,3.1367090927364005
Africa,2022-05-23,237.68078161834663,200.01944439328264,129.27658957620326,105.54081786643987,64.85121335595588,0,204.20375159225472,1822.8670348764867,672.5176334542724,2.71051187983524
Africa,2022-05-30,138.09562374475436,150.82791513545828,72.19003005476114,66.36484883678926,80.19071562537668,0,150.1077867948526,1594.8248683319043,427.478417771763,3.7307728344391053
Africa,2022-06-06,184.5194721032621,75.96766364917626,74.75827853506519,62.53161155080113,73.24607757785458,0,240.05589085654307,1821.9675478312274,397.77702583830467,4.5803740022226735
Africa,2022-06-13,119.90372952826641,159.9533916680617,107.9007165825634,103.0842924631254,69.64129744381694,0,156.71680836673676,1899.5132104816676,490.8421302420169,3.8699066226142502
Africa,2022-06-20,275.4300855425515,188.7136687889272,152.24654574699642,101.74372808302128,67.04129189201282,0,189.1650180967118,2046.734415562122,718.1340281614964,2.8500730160385124
Africa,2022-06-27,134.62174003658257,148.2469042647431,50.06931957135366,124.26830057413463,105.68373605625943,1,126.90525246362179,2020.3281202520795,457.206264446814,4.41885485251723
Africa,2022-07-04,240.43306475304365,184.92007699250544,154.96539874420495,177.89975578481162,75.48448099815863,0,233.6474582013422,1816.7565173480343,758.2182962745657,2.396086359659872
Africa,2022-07-11,293.07216431542923,240.38695566665967,161.7351803719445,165.0996486736438,58.74432639667123,0,405.05277989182565,1579.4703778289104,860.2939490276772,1.8359659272438937
Africa,2022-07-18,110.29541648992281,112.50681806506567,88.73467839540861,66.43951018534568,92.93709759005534,0,126.0013086703712,1832.1807564433798,377.9764231357428,4.8473413797701035
